,FirstOrderDate,marketing_channel,First_Ord_Value,SecondOrdValue,D2_D1,customer_count
238,2023-03-02,Facebook,530.8860103626943,572.625,-114.125,193
239,2023-05-29,Google,622.9842519685039,616.1666666666666,-119.0,125
240,2023-09-14,Google,590.6410256410256,1099.0,-147.0,38
241,2022-10-01,MyRewards,343.6,,,30
242,2023-02-05,Facebook,511.1162790697674,692.3333333333334,-211.66666666666666,171
243,2023-11-26,Others,648.2946428571429,401.2,-18.0,222
244,2022-10-13,Facebook,377.0884086444008,617.9642857142857,-218.53571428571428,503
245,2023-04-09,Facebook,557.1944444444445,786.2,-200.6,72
246,2022-09-29,Google,345.2716049382716,227.25,-52.5,81
247,2022-11-06,MyRewards,377.04895104895104,510.75,-171.0,143
248,2022-09-29,MyRewards,398.53333333333336,0.0,-50.0,135
249,2022-12-26,Instagram,422.3636363636364,349.0,-47.0,11
250,2023-04-06,Google,546.9444444444445,,,17
251,2024-02-29,Google,587.3666666666667,,,30
252,2023-05-29,MyRewards,333.3333333333333,1095.0,-48.0,54
253,2023-07-26,Affiliate,871.7777777777778,,,9
254,2023-01-06,MyRewards,389.9207920792079,395.0,-14.0,101
255,2023-10-25,Google,667.7022900763359,266.0,-55.333333333333336,130
256,2022-09-28,MyRewards,319.46153846153845,99.5,-251.0,169
257,2024-02-08,MyRewards,689.0,,,6
258,2022-10-01,Google,326.2903225806452,197.0,-107.0,30
259,2024-02-08,Google,763.1025641025641,599.0,-15.0,38
260,2023-12-20,MyRewards,584.4444444444445,,,9
261,2023-02-27,Google,370.0,,,10
262,2023-11-23,MyRewards,543.074074074074,,,27
263,2023-07-26,Instagram,581.5714285714286,,,7
264,2023-02-27,MyRewards,302.375,,,24
265,2023-09-14,MyRewards,435.6666666666667,,,9
266,2023-11-26,Affiliate,1245.5,,,2
267,2024-02-23,Affiliate,387.8,,,10
268,2023-01-18,Instagram,334.6666666666667,,,6
269,2023-04-06,MyRewards,279.0,,,3
270,2023-10-08,Instagram,99.5,,,2
271,2024-02-29,MyRewards,506.6666666666667,,,3
272,2023-01-18,Affiliate,1190.0,,,1
273,2024-02-23,Instagram,666.5,,,2
274,2023-11-26,Instagram,1190.0,,,1
275,2023-03-23,Others,619.2038834951456,948.3333333333334,-185.0,407
276,2023-11-23,Direct/SEO,663.017895878525,683.9574468085107,-33.212765957446805,1786
277,2022-09-28,Direct/SEO,3926.56049960968,2499.2264150943397,-155.58490566037736,1225
278,2023-09-16,Facebook,647.2222222222222,865.8333333333334,-46.166666666666664,562
279,2023-06-06,Facebook,661.3114503816794,790.4375,-107.1875,647
280,2023-01-06,Direct/SEO,570.8699891657639,620.1632653061224,-85.28571428571429,908
281,2023-12-20,Direct/SEO,639.7931404072883,564.6818181818181,-33.86363636363637,906
282,2022-09-29,Direct/SEO,493.4032997250229,507.8333333333333,-182.5,1074
283,2023-10-28,Others,565.2885973763875,639.5,-67.375,988
284,2023-02-10,Google,513.8121212121212,264.3333333333333,-211.33333333333334,33
285,2023-09-14,Direct/SEO,681.8863636363636,649.5714285714286,-45.80952380952381,510
286,2022-09-17,Direct/SEO,538.290944123314,674.6111111111111,-176.55555555555554,515
287,2024-02-08,Direct/SEO,661.5627906976745,574.0,-14.4,840
288,2022-09-14,MyRewards,348.1185770750988,399.0,-380.5,253
289,2022-11-18,MyRewards,354.17391304347825,349.0,-4.0,91
290,2023-09-08,Facebook,615.2338902147972,670.2083333333334,-69.58333333333333,828
291,2023-01-20,Google,461.54,,,50
292,2023-02-27,Direct/SEO,564.9058524173028,733.0,-103.53846153846153,387
293,2023-12-07,Others,542.278672985782,299.0,-38.0,1053
294,2023-10-12,Others,586.5834738617201,,,587
295,2023-03-27,Facebook,501.2353846153846,879.8571428571429,-165.0,129
296,2022-09-14,Google,346.1066666666667,530.75,-54.0,150
297,2022-09-06,Others,374.2678062678063,519.125,-112.625,350
298,2024-01-14,Google,617.9230769230769,,,116
299,2022-11-06,Direct/SEO,531.4957118353345,602.34375,-184.671875,1146
300,2023-10-25,Direct/SEO,662.8834154351396,903.2857142857143,-39.214285714285715,590
301,2023-05-29,Direct/SEO,624.59410430839,597.921052631579,-113.0,868
302,2023-01-10,Others,672.5785714285714,487.0,-8.0,140
303,2023-04-20,Others,589.0106382978723,746.4545454545455,-123.36363636363636,371
304,2022-12-16,Others,449.12264150943395,622.0,-102.0,209
305,2024-02-06,Others,657.6784565916398,579.2,-5.6,620
306,2024-02-06,Affiliate,635.3571428571429,99.0,-2.0,14
307,2024-02-29,Direct/SEO,677.3532513181019,,,556
308,2023-04-19,Facebook,458.0,571.6666666666666,-132.16666666666666,145
309,2023-01-16,Facebook,584.9117117117117,468.08,-114.72,550
310,2022-11-22,Facebook,512.7465940054495,689.2307692307693,-175.15384615384616,363
311,2024-01-12,Facebook,680.816091954023,,,87
312,2023-03-23,Instagram,402.25,,,31
313,2023-04-24,Facebook,730.125,,,87
314,2023-01-11,Others,543.013698630137,571.5,-115.25,146
315,2022-10-01,Direct/SEO,497.9363957597173,694.1666666666666,-144.83333333333334,277
316,2023-11-04,Others,581.993288590604,,,149
317,2022-09-15,MyRewards,400.3157894736842,1580.0,-13.0,76
318,2022-11-18,Google,359.14925373134326,518.0,-38.666666666666664,65
319,2024-01-02,MyRewards,577.0909090909091,,,11
320,2024-01-02,Google,598.4925373134329,325.0,-12.0,67
321,2023-01-20,MyRewards,371.75,,,92
322,2024-01-16,Others,708.5757575757576,,,33
323,2023-02-10,MyRewards,263.2638888888889,770.0,-326.0,72
324,2023-04-20,Instagram,303.3,349.0,-39.0,30
325,2023-10-28,Instagram,349.0,,,2
326,2023-04-06,Direct/SEO,476.6,264.3333333333333,-101.0,25
327,2023-04-29,Others,668.4313725490196,739.3333333333334,-200.33333333333334,51
328,2023-11-12,Direct/SEO,616.75,,,4
329,2022-09-15,Google,350.18333333333334,597.0,-188.5,59
330,2023-11-04,Affiliate,199.0,,,2
331,2023-04-29,Instagram,395.5,,,4
332,2024-03-01,Facebook,862.1923076923077,,,26
333,2023-10-28,Affiliate,279.0,475.0,-78.0,5
334,2022-12-16,Instagram,329.72727272727275,,,11
335,2023-01-11,Instagram,487.0,,,3
336,2023-10-12,Instagram,489.25,,,4
337,2024-01-14,MyRewards,589.5,,,16
338,2023-01-11,Affiliate,0.0,,,1
339,2024-02-06,Instagram,298.5,,,2
340,2024-01-16,Instagram,0.0,,,1
341,2024-02-13,Facebook,1125.0,,,2
342,2023-12-07,Instagram,827.3333333333334,,,3
343,2023-10-12,Affiliate,349.0,,,1
344,2023-03-23,Affiliate,219.0,,,1
345,2023-12-07,Affiliate,648.0,,,3
346,2024-01-16,Affiliate,699.0,,,1
347,2023-11-04,Instagram,700.0,,,1
348,2023-01-10,Instagram,395.0,,,2
349,2023-10-04,Facebook,647.1206293706293,850.7894736842105,-60.89473684210526,1136
350,2022-12-16,Direct/SEO,566.1354515050167,645.2162162162163,-155.67567567567568,579
351,2023-10-28,Direct/SEO,721.8633474576271,655.7,-54.45,913
352,2023-10-12,Direct/SEO,700.1272123893805,697.0384615384615,-52.57692307692308,877
353,2022-11-06,Others,465.26079136690646,592.0,-198.88888888888889,551
354,2023-07-20,Facebook,793.0146471371505,584.08,-79.76,739
355,2023-05-29,Affiliate,558.375,,,16
356,2023-10-08,Google,650.6153846153846,,,104
357,2023-10-27,Facebook,748.6871880199667,855.4444444444445,-49.888888888888886,599
358,2023-01-01,Facebook,519.4264705882352,645.2258064516129,-154.51612903225808,603
359,2022-10-22,Facebook,340.875,666.25,-162.25,136
360,2023-11-23,Others,547.2846153846153,659.6923076923077,-29.46153846153846,2980
361,2024-02-06,Direct/SEO,636.8583638583639,655.0625,-5.375,791
362,2023-01-06,Others,572.7494600431966,549.4444444444445,-122.11111111111111,460
363,2023-09-14,Others,591.067385444744,252.5,-13.0,365
364,2022-10-07,Facebook,382.1608832807571,485.7857142857143,-187.07142857142858,315
365,2023-07-16,Facebook,806.2638036809816,540.625,-66.625,325
366,2024-02-08,Others,682.1831187410587,900.0,-6.0,698
367,2023-11-26,Google,602.9047619047619,264.3333333333333,-26.666666666666668,125
368,2023-12-20,Others,603.2144495412844,957.6666666666666,-46.666666666666664,870
369,2023-01-11,Direct/SEO,626.4934497816594,1254.5333333333333,-61.666666666666664,223
370,2023-02-27,Others,467.39527027027026,649.8571428571429,-159.57142857142858,295
371,2023-11-04,Direct/SEO,727.7462686567164,769.3333333333334,-51.666666666666664,130
372,2023-04-20,Direct/SEO,565.6231086657497,570.56,-138.32,726
373,2024-01-16,Direct/SEO,756.05,724.8571428571429,-22.857142857142858,117
374,2023-12-07,Direct/SEO,656.5997581620314,684.8888888888889,-39.77777777777778,808
375,2022-09-29,Others,343.38196286472146,540.0625,-171.5,375
376,2023-10-25,Others,591.3200795228628,,,502
377,2023-10-05,Facebook,640.6193029490616,490.85714285714283,-52.285714285714285,371
378,2022-09-06,Direct/SEO,462.98823529411766,648.7142857142857,-137.16326530612244,1004
379,2023-01-10,Direct/SEO,636.808,591.7058823529412,-78.6470588235294,239
380,2023-02-11,Facebook,441.80456942003514,880.695652173913,-177.52173913043478,566
381,2023-11-23,Affiliate,752.0,,,4
382,2023-10-20,Facebook,744.4326923076923,871.0769230769231,-42.30769230769231,414
383,2022-09-28,Others,304.9845679012346,531.3076923076923,-131.69230769230768,319
384,2024-02-29,Others,701.4944444444444,,,180
385,2023-05-23,Facebook,581.6417112299465,702.3333333333334,-135.33333333333334,184
386,2023-01-13,Facebook,606.1921768707483,643.8965517241379,-142.10344827586206,580
387,2023-01-28,Facebook,456.23716012084594,729.7777777777778,-147.77777777777777,659
388,2023-03-23,Direct/SEO,716.721071863581,543.3529411764706,-120.28571428571429,807
389,2022-10-01,Others,341.71604938271605,790.0,-52.0,80
390,2023-10-24,Facebook,746.1543026706231,577.0,-17.375,335
391,2023-02-27,Instagram,322.06451612903226,990.0,-240.0,31
392,2023-01-18,Google,393.5,,,10
393,2023-04-29,Direct/SEO,643.6483516483516,739.2,-69.2,175
394,2023-06-23,Facebook,631.8125,396.3333333333333,-109.16666666666667,141
395,2022-09-17,Others,428.11167512690355,435.0,-192.5,196
396,2023-05-29,Others,704.0541401273886,1500.0,-48.0,312
397,2022-12-26,MyRewards,340.375,643.0,-39.0,31
398,2023-01-06,Instagram,382.3157894736842,395.0,-10.0,19
399,2023-07-26,Google,853.7380952380952,597.6666666666666,-91.0,84
400,2023-10-25,Affiliate,1164.4,400.0,-39.0,15
401,2022-11-06,Instagram,371.6222222222222,624.0,-78.5,45
402,2022-10-01,Instagram,417.875,199.0,-6.0,8
403,2022-09-17,Instagram,395.375,,,8
404,2024-02-23,Google,825.6363636363636,,,55
405,2023-09-14,Affiliate,740.3333333333334,1450.0,-24.0,18
406,2022-12-26,Google,332.4347826086956,199.0,-305.0,23
407,2024-02-08,Affiliate,498.2083333333333,,,24
408,2023-12-20,Affiliate,596.125,,,16
409,2024-02-23,MyRewards,486.6666666666667,,,6
410,2023-05-29,Instagram,354.32142857142856,1157.5,-165.0,28
411,2023-01-18,MyRewards,370.7142857142857,,,7
412,2023-04-06,Others,585.3157894736842,,,19
413,2023-07-26,MyRewards,572.741935483871,939.6666666666666,-48.666666666666664,31
414,2022-09-29,Affiliate,345.5,,,2
415,2023-04-06,Instagram,255.66666666666666,,,3
416,2023-02-27,Affiliate,831.0,,,3
417,2023-11-23,Instagram,509.5,,,2
418,2023-11-12,Others,629.4,,,5
419,2023-10-08,MyRewards,537.9230769230769,,,13
420,2024-02-29,Affiliate,751.1428571428571,,,6
421,2024-02-08,Instagram,372.0,,,2
422,2023-11-26,MyRewards,565.0,,,5
423,2022-09-28,Instagram,224.0,,,1
424,2022-09-28,Affiliate,395.0,,,1
425,2023-10-25,Instagram,249.0,,,1
426,2023-10-24,Direct/SEO,691.5946601941747,587.4444444444445,-21.333333333333332,401
427,2023-12-07,Facebook,729.2182952182952,829.0,-46.57142857142857,478
428,2023-10-04,Direct/SEO,669.8183088749126,817.3239436619718,-52.95774647887324,1398
429,2023-10-28,Facebook,749.7545839210155,669.8333333333334,-68.5,705
430,2023-01-01,Direct/SEO,675.0089285714286,557.1694915254237,-154.3050847457627,874
431,2023-01-16,Others,635.2597402597403,525.8571428571429,-131.85714285714286,534
432,2023-09-13,Google,619.4133333333333,0.0,-3.0,74
433,2023-07-16,Direct/SEO,711.173417721519,776.8571428571429,-51.0,763
434,2023-06-23,Direct/SEO,758.2986425339367,545.6470588235294,-75.6470588235294,214
435,2022-09-19,MyRewards,386.13953488372096,,,86
436,2023-10-12,Facebook,694.1442463533225,389.2,-59.6,614
437,2023-07-14,Google,681.7692307692307,,,39
438,2023-01-28,Direct/SEO,721.9677790563867,601.4285714285714,-118.68253968253968,846
439,2023-01-13,Direct/SEO,594.2917093142272,748.234375,-110.4375,950
440,2023-09-08,Others,582.7285932721712,667.5,-44.125,1302
441,2023-10-05,Direct/SEO,643.1585365853658,792.0666666666667,-19.0,487
442,2024-01-16,Facebook,634.2622950819672,,,60
