,FirstOrderDate,marketing_channel,CV_90,customer_count
291,2023-01-29,Google,771.7619047619048,37
292,2023-07-14,Google,681.7692307692307,39
293,2023-09-08,Affiliate,572.1,20
294,2022-12-12,MyRewards,404.82758620689657,29
295,2022-10-04,Google,376.9183673469388,95
296,2023-09-13,Google,644.8026315789474,74
297,2023-12-29,Google,781.3809523809524,40
298,2023-03-27,Others,654.15,63
299,2024-03-01,Others,708.1739130434783,23
300,2023-04-10,MyRewards,415.3246753246753,75
301,2023-09-13,MyRewards,625.6,15
302,2023-09-16,Affiliate,638.6206896551724,29
303,2022-10-30,Google,423.1060606060606,64
304,2023-01-16,Instagram,457.6896551724138,28
305,2024-02-13,Others,703.0,5
306,2023-04-19,Instagram,300.6666666666667,6
307,2024-02-06,Facebook,759.5714285714286,14
308,2023-12-29,MyRewards,534.5,4
309,2024-01-12,Affiliate,997.6666666666666,2
310,2023-07-14,MyRewards,523.125,14
311,2023-04-24,Instagram,259.0,4
312,2022-11-22,Affiliate,707.8333333333334,5
313,2023-06-06,Instagram,386.0769230769231,12
314,2023-09-16,Instagram,538.4,5
315,2023-11-03,Google,1179.3333333333333,3
316,2023-09-08,Instagram,499.0,2
317,2023-04-24,Affiliate,239.0,2
318,2023-10-03,MyRewards,662.0,2
319,2023-01-16,Affiliate,395.0,1
320,2023-03-27,Affiliate,760.0,1
321,2023-01-13,Others,725.5747572815534,494
322,2023-01-16,Direct/SEO,788.4343434343434,1055
323,2023-06-06,Direct/SEO,808.123595505618,821
324,2022-11-04,MyRewards,392.1949685534591,155
325,2023-09-14,Facebook,748.8509803921569,246
326,2022-11-06,Facebook,528.3741935483871,588
327,2022-09-28,Facebook,389.42148760330576,337
